url,price_no_discount,price_with_discount
https://prima-coffee.com/equipment/espresso-supply/02626-es-su-sp,,21.99
https://prima-coffee.com/equipment/espresso-supply/02627-es-su-sp,,35.99
https://prima-coffee.com/equipment/rattleware/03717-rattl-sp,,6.99
https://prima-coffee.com/equipment/fetco/a147,,129.99
https://prima-coffee.com/equipment/fetco/a148,,214.99
https://prima-coffee.com/equipment/fetco/a149,,269.99
https://prima-coffee.com/equipment/fetco/a150,,134.99
https://prima-coffee.com/equipment/fetco/a151,,219.99
https://prima-coffee.com/equipment/fetco/a152,,299.99
https://prima-coffee.com/equipment/planetary-design/airscape-bl-s,,37.50
https://prima-coffee.com/equipment/hario/cf-103e,,6.19
https://prima-coffee.com/equipment/coffeesock/cs-v2,,13.99
https://prima-coffee.com/equipment/coffeesock/cs-x6,,13.99
https://prima-coffee.com/equipment/fetco/d009,,464.99
https://prima-coffee.com/equipment/fetco/d012,,549.99
https://prima-coffee.com/equipment/fetco/d041,,154.99
https://prima-coffee.com/equipment/fetco/d063,,184.99
https://prima-coffee.com/equipment/fetco/d448,,514.99
https://prima-coffee.com/equipment/fetco/d449,,544.99
https://prima-coffee.com/equipment/fetco/d450,,599.99
https://prima-coffee.com/equipment/fetco/d451,,474.99
https://prima-coffee.com/equipment/fetco/d452,,499.99
https://prima-coffee.com/equipment/fetco/d453,,559.99
https://prima-coffee.com/equipment/able/disk,,15.00
https://prima-coffee.com/equipment/hario/f-103s-hario-sp,,6.99
https://prima-coffee.com/equipment/fetco/f004,104.99,90.70
https://prima-coffee.com/equipment/fetco/f005,,69.99
https://prima-coffee.com/equipment/able/heat-lid-black,,12.00
https://prima-coffee.com/equipment/able/kone,,39.50
https://prima-coffee.com/equipment/curtis/txsg0101s600,,329.99
https://prima-coffee.com/equipment/litmus-coffee-labs/ufo-curtis-li-co-sp,,60.00
https://prima-coffee.com/equipment/hario/vps-100w,,23.50
https://prima-coffee.com/equipment/curtis/wc-3422,,59.99
https://prima-coffee.com/equipment/yama/yamftlfl,,16.00
https://prima-coffee.com/equipment/litmus-coffee-labs/ufo-fetco-li-co-sp,,74.99
https://prima-coffee.com/equipment/curtis/gem5xsift,,199.99
https://prima-coffee.com/equipment/curtis/gem3xift,,429.99
https://prima-coffee.com/equipment/curtis/gem-6-101,,39.99
https://prima-coffee.com/equipment/oxo/11212400-oxo-sp,,55.99
https://prima-coffee.com/equipment/fetco/b001280b1,,249.99
https://prima-coffee.com/equipment/fetco/b003218b1,,179.99
https://prima-coffee.com/equipment/fetco/b00828002,,499.99
